x(meters),y(meters),z(feet)
554500,3636500,161.2
555500,3636500,163.2
556500,3636500,133.1
538500,3635500,86.1
539500,3635500,100.9
540500,3635500,120.4
541500,3635500,145.7
542500,3635500,110.3
543500,3635500,105.6
544500,3635500,167.4
545500,3635500,204
546500,3635500,112.2
547500,3635500,164.7
548500,3635500,183.1
549500,3635500,134.9
550500,3635500,159.5
551500,3635500,175
552500,3635500,188.1
553500,3635500,159.5
554500,3635500,173.3
555500,3635500,142.1
556500,3635500,207.6
538500,3634500,130.7
539500,3634500,89.1
540500,3634500,85.8
541500,3634500,130.8
542500,3634500,91.4
543500,3634500,136.9
544500,3634500,176
545500,3634500,104.6
546500,3634500,147.4
547500,3634500,166
548500,3634500,168.1
549500,3634500,107.3
550500,3634500,144.2
551500,3634500,166.4
552500,3634500,212.3
553500,3634500,173.3
554500,3634500,183.9
555500,3634500,186
556500,3634500,215.9
